reference,comparison,combination,chi_sq,p_value
CNN,CTB,CNN-CTB,24.555975380813184,0.9999999479801405
CNN,FXN,CNN-FXN,38.56485083034252,0.9994083155771345
CNN,HFP,CNN-HFP,58.73214924568076,0.8505420094295573
CNN,NBC,CNN-NBC,31.419846050870145,0.9999877245610048
CNN,NYT,CNN-NYT,8.44520940906483,1.0
CNN,RET,CNN-RET,32.134188233763986,0.9999806099503622
CNN,WPO,CNN-WPO,120.42353352833442,0.00022862682304491955
CNN,WSJ,CNN-WSJ,20.830639631697522,0.9999999990935688
CTB,CNN,CTB-CNN,24.555975380813184,0.9999999479801405
CTB,FXN,CTB-FXN,124.28597572134449,9.506204044662514e-05
CTB,HFP,CTB-HFP,167.11964495015346,1.0096380398394444e-09
CTB,NBC,CTB-NBC,1.682692307692307,1.0
CTB,NYT,CTB-NYT,57.08980674497915,0.884289261325854
CTB,RET,CTB-RET,110.51781801406989,0.0018664092861612191
CTB,WPO,CTB-WPO,298.0198668880058,0.0
CTB,WSJ,CTB-WSJ,0.35021888680425234,1.0
FXN,CNN,FXN-CNN,38.56485083034252,0.9994083155771345
FXN,CTB,FXN-CTB,124.28597572134449,9.506204044662514e-05
FXN,HFP,FXN-HFP,1.539622003437458,1.0
FXN,NBC,FXN-NBC,138.20938966665332,3.1606149156759855e-06
FXN,NYT,FXN-NYT,10.09668950502657,1.0
FXN,RET,FXN-RET,0.23748659528301452,1.0
FXN,WPO,FXN-WPO,14.114545045784936,0.9999999999999769
FXN,WSJ,FXN-WSJ,116.16572646406405,0.0005795661876765168
HFP,CNN,HFP-CNN,58.73214924568076,0.8505420094295573
HFP,CTB,HFP-CTB,167.11964495015346,1.0096380398394444e-09
HFP,FXN,HFP-FXN,1.539622003437458,1.0
HFP,NBC,HFP-NBC,184.45934055656278,4.9178439098795934e-12
HFP,NYT,HFP-NYT,20.168962350780532,0.9999999996037098
HFP,RET,HFP-RET,3.0032412245055924,1.0
HFP,WPO,HFP-WPO,6.104036422186441,1.0
HFP,WSJ,HFP-WSJ,156.98926231346076,1.931303250657379e-08
NBC,CNN,NBC-CNN,31.419846050870145,0.9999877245610048
NBC,CTB,NBC-CTB,1.682692307692307,1.0
NBC,FXN,NBC-FXN,138.20938966665332,3.1606149156759855e-06
NBC,HFP,NBC-HFP,184.45934055656278,4.9178439098795934e-12
NBC,NYT,NBC-NYT,65.9837231352718,0.6461629065261092
NBC,RET,NBC-RET,123.36463238644993,0.0001175281697235464
NBC,WPO,NBC-WPO,326.08415300904204,0.0
NBC,WSJ,NBC-WSJ,3.2605013550135507,1.0
NYT,CNN,NYT-CNN,8.44520940906483,1.0
NYT,CTB,NYT-CTB,57.08980674497915,0.884289261325854
NYT,FXN,NYT-FXN,10.09668950502657,1.0
NYT,HFP,NYT-HFP,20.168962350780532,0.9999999996037098
NYT,NBC,NYT-NBC,65.9837231352718,0.6461629065261092
NYT,RET,NYT-RET,7.155391028070074,1.0
NYT,WPO,NYT-WPO,53.57730263108836,0.9388476237549662
NYT,WSJ,NYT-WSJ,51.9785822555562,0.9562698505834011
RET,CNN,RET-CNN,32.134188233763986,0.9999806099503622
RET,CTB,RET-CTB,110.51781801406989,0.0018664092861612191
RET,FXN,RET-FXN,0.23748659528301452,1.0
RET,HFP,RET-HFP,3.0032412245055924,1.0
RET,NBC,RET-NBC,123.36463238644993,0.0001175281697235464
RET,NYT,RET-NYT,7.155391028070074,1.0
RET,WPO,RET-WPO,18.324955983554734,0.9999999999679628
RET,WSJ,RET-WSJ,103.03339359196204,0.007771292443798483
WPO,CNN,WPO-CNN,120.42353352833442,0.00022862682304491955
WPO,CTB,WPO-CTB,298.0198668880058,0.0
WPO,FXN,WPO-FXN,14.114545045784936,0.9999999999999769
WPO,HFP,WPO-HFP,6.104036422186441,1.0
WPO,NBC,WPO-NBC,326.08415300904204,0.0
WPO,NYT,WPO-NYT,53.57730263108836,0.9388476237549662
WPO,RET,WPO-RET,18.324955983554734,0.9999999999679628
WPO,WSJ,WPO-WSJ,281.6012923762003,0.0
WSJ,CNN,WSJ-CNN,20.830639631697522,0.9999999990935688
WSJ,CTB,WSJ-CTB,0.35021888680425234,1.0
WSJ,FXN,WSJ-FXN,116.16572646406405,0.0005795661876765168
WSJ,HFP,WSJ-HFP,156.98926231346076,1.931303250657379e-08
WSJ,NBC,WSJ-NBC,3.2605013550135507,1.0
WSJ,NYT,WSJ-NYT,51.9785822555562,0.9562698505834011
WSJ,RET,WSJ-RET,103.03339359196204,0.007771292443798483
WSJ,WPO,WSJ-WPO,281.6012923762003,0.0
